iter	RMSE
0	9.111951011
1	8.82041647
2	8.514526046
3	8.229193074
4	7.951386672
5	7.703809647
6	7.47076654
7	7.226177972
8	7.006356431
9	6.798118668
10	6.581499683
11	6.385686979
12	6.192067095
13	6.016175447
14	5.846368981
15	5.69544213
16	5.540751053
17	5.386857678
18	5.243042161
19	5.096796395
20	4.96706168
21	4.845424256
22	4.730678759
23	4.622142716
24	4.515153522
25	4.40535932
26	4.306288029
27	4.219769004
28	4.126981919
29	4.044473604
30	3.965792489
31	3.901937628
32	3.831980347
33	3.762257684
34	3.698033548
35	3.64488872
36	3.582177423
37	3.529139092
38	3.482961155
39	3.436976086
40	3.391241636
41	3.342540124
42	3.297871859
43	3.248518657
44	3.204829435
45	3.167879617
46	3.128854252
47	3.087294463
48	3.055486276
49	3.030412126
50	2.999416777
51	2.97405913
52	2.948110238
53	2.922303509
54	2.898752508
55	2.872332573
56	2.847149142
57	2.827162429
58	2.805201927
59	2.787592044
60	2.762100671
61	2.745876257
62	2.725992832
63	2.702543731
64	2.687425848
65	2.672130499
66	2.655875839
67	2.637043311
68	2.622703567
69	2.609781709
70	2.590906793
71	2.576645796
72	2.560968465
73	2.551653874
74	2.542419864
75	2.532136603
76	2.520885877
77	2.512576365
78	2.504898165
79	2.497410681
80	2.486615258
81	2.478214776
82	2.467860928
83	2.462167989
84	2.452252562
85	2.445083227
86	2.432523756
87	2.426366156
88	2.418243247
89	2.41117453
90	2.402285715
91	2.391967913
92	2.384317988
93	2.376021421
94	2.366859706
95	2.363110162
96	2.356395584
97	2.34892289
98	2.339999514
99	2.335041882
100	2.328679929
101	2.318118306
102	2.310076312
103	2.303005613
104	2.29731098
105	2.291379703
106	2.286578233
107	2.281254062
108	2.277317198
109	2.272579594
110	2.267360848
111	2.263650197
112	2.257002652
113	2.246346873
114	2.239713608
115	2.23267148
116	2.227899316
117	2.222397977
118	2.217636533
119	2.214059701
120	2.21018323
121	2.20351397
122	2.196868319
123	2.192232765
124	2.184504151
125	2.179463031
126	2.172608908
127	2.168412436
128	2.162157347
129	2.1575641
130	2.151605927
131	2.147682565
132	2.144542316
133	2.13957318
134	2.134917228
135	2.13110012
136	2.126675219
137	2.1235422
138	2.119703397
139	2.113221464
140	2.109562564
141	2.104494271
142	2.100940472
143	2.09731425
144	2.091631295
145	2.083153299
146	2.078766525
147	2.075023596
148	2.072390053
149	2.068660038
150	2.06556289
151	2.059091208
152	2.05497279
153	2.049336295
154	2.045862053
155	2.041149592
156	2.038782234
157	2.035248932
158	2.031550696
159	2.025413183
160	2.02293392
161	2.018365352
162	2.013763573
163	2.008892799
164	2.006466242
165	1.999782474
166	1.99615416
167	1.993731656
168	1.988675723
169	1.984072519
170	1.981776891
171	1.975705789
172	1.974035491
173	1.969752461
174	1.967634484
175	1.962871094
176	1.960949137
177	1.954975488
178	1.951619785
179	1.94929434
180	1.94655316
181	1.944544696
182	1.941165056
183	1.938520691
184	1.936162735
185	1.932105795
186	1.929220173
187	1.926195544
188	1.921942469
189	1.918501881
190	1.915021573
191	1.912371002
192	1.911098113
193	1.909344492
194	1.905829274
195	1.903120427
196	1.898495587
197	1.896316982
198	1.892654362
199	1.889440524
200	1.886072071
201	1.882221842
202	1.87707269
203	1.873239046
204	1.870320774
205	1.865324817
206	1.860772834
207	1.85831986
208	1.856267813
209	1.853228837
210	1.851797013
211	1.848463028
212	1.845834421
213	1.842602196
214	1.83520558
215	1.832518556
216	1.829696672
217	1.82344594
218	1.819520302
219	1.81658634
220	1.812612834
221	1.809649219
222	1.806558883
223	1.803715037
224	1.801178839
225	1.799061974
226	1.795819157
227	1.793939418
228	1.789941555
229	1.787213346
230	1.782716455
231	1.779713782
232	1.776728042
233	1.772884012
234	1.769069095
235	1.766530414
236	1.762451345
237	1.759685379
238	1.757851871
239	1.752507869
240	1.751441144
241	1.749061019
242	1.745110061
243	1.743294568
244	1.73987137
245	1.736199118
246	1.733284077
247	1.730435129
248	1.725316228
249	1.721278195
250	1.718450684
251	1.714990754
252	1.713386399
253	1.710277997
254	1.707886052
255	1.705400746
256	1.701429748
257	1.699557496
258	1.697027772
259	1.694912046
260	1.693119386
261	1.690652737
262	1.688412633
263	1.685410246
264	1.683648127
265	1.680781346
266	1.678983326
267	1.675925615
268	1.674154182
269	1.672721135
270	1.669298458
271	1.665127837
272	1.66208502
273	1.658333669
274	1.655613311
275	1.653677292
276	1.652020841
277	1.651299993
278	1.648059987
279	1.645662782
280	1.643981368
281	1.639149578
282	1.636820142
283	1.634643112
284	1.632403594
285	1.631110417
286	1.627550225
287	1.624426736
288	1.620883438
289	1.619707276
290	1.617984546
291	1.617699073
292	1.614196044
293	1.610262756
294	1.608603618
295	1.606284074
296	1.602582038
297	1.598626228
298	1.595213012
299	1.593073983
300	1.590583007
301	1.589601623
302	1.586987424
303	1.58339527
304	1.579304044
305	1.577914304
306	1.573778484
307	1.570966329
308	1.568596395
309	1.566869263
310	1.564205819
311	1.563968176
312	1.560959154
313	1.558340134
314	1.553993441
315	1.552697972
316	1.548977288
317	1.547070394
318	1.543728977
319	1.540910277
320	1.539760909
321	1.536640837
322	1.532640652
323	1.530983449
324	1.527556399
325	1.523662205
326	1.522065866
327	1.518564127
328	1.516069959
329	1.513380203
330	1.51160783
331	1.509179443
332	1.508611301
333	1.504843244
334	1.501509438
335	1.498566961
336	1.496577414
337	1.494549064
338	1.491897277
339	1.488662434
340	1.486139189
341	1.484696996
342	1.482474392
343	1.480935369
344	1.4781701
345	1.475187594
346	1.474027342
347	1.472476115
348	1.468624187
349	1.468122975
